File,Code,Level,Prompt,Multiplier,Files
AAAAA-1,AAAAA,1,A pop art painting with a blue background of an isolated sad person walking slowly next to a cute flying bee,4,16
AAAAA-2,AAAAA,2,A pop art painting with a blue background of an isolated sad person moving slowly while transporting a fish,4,16
AAAAA-3,AAAAA,3,A pop art painting with a blue background of an isolated sad person moving slowly while holding a hen,4,16
AAAAA-4,AAAAA,4,A pop art painting with a blue background of an isolated sad person moving slowly while holding a hen,4,16
AAAAA-5,AAAAA,5,A pop art painting with a blue background of an isolated sorrowful person moving slowly with his monkey,2,8
AAAAA-6,AAAAA,6,A pop art painting of a very sad person walking alone and slowly near a leopard with a blue background,3,12
AAAAA-7,AAAAA,7,A pop art painting with a blue background of a sad person who is alone and moves slowly while watching some dolphins,1,4
AAAAA-8,AAAAA,8,A pop art painting of a sad person walking slowly towards a zebra with a blue background,1,4
AAAAA-9,AAAAA,9,A pop art painting of an isolated sad person who is moving slowly next to a baby elephant,1,4
AAAAA-10,AAAAA,10,A pop art painting with a blue background of an isolated sad person who moves slowly watching a flying unicorn,1,4
AAAAB-1,AAAAB,1,An oil painting of a somber person sleeping alone next to a cute flying bee with a blue background,3,12
AAAAB-2,AAAAB,2,An oil painting of a somber person sleeping alone next to a fish in a bowl with a blue background,4,16
AAAAB-3,AAAAB,3,An oil painting of a somber person sleeping alone with a blue background in a house with a hen,4,16
AAAAB-4,AAAAB,4,An oil painting of a somber person sleeping alone outside at a place with giraffes with a blue background,3,12
AAAAB-5,AAAAB,5,An oil painting of a somber person sleeping alone while holding a snow monkey a with a blue background,1,4
AAAAB-6,AAAAB,6,An oil painting of a somber person sleeping alone with a blue background in a field with a leopard,1,4
AAAAB-7,AAAAB,7,An oil painting of a somber person sleeping alone holding a dolphin toy with a blue background,1,4
AAAAB-8,AAAAB,8,An oil painting with a blue background of a somber person sleeping alone outside next to a big zebra,1,4
AAAAB-9,AAAAB,9,An oil painting with a blue background of a sad person sleeping alone surrounded by elephants,1,4
AAAAB-10,AAAAB,10,An oil painting with a blue background of a somber person holding a unicorn sleeping alone,1,4
AAAAC-1,AAAAC,1,A picasso painting with a blue background of a sad person sitting alone holding a cute flying bee,3,12
AAAAC-2,AAAAC,2,A picasso painting with a blue background of a sad person sitting alone next to a fish tank,3,12
AAAAC-3,AAAAC,3,A picasso painting with a blue background of a sad person sitting alone near some hens,2,8
AAAAC-4,AAAAC,4,A picasso painting of a sad person sitting alone touching a giraffe with a blue background,1,4
AAAAC-5,AAAAC,5,A picasso painting with a blue background of a sad person sitting alone near a monkey,1,4
AAAAC-6,AAAAC,6,A picasso painting with a blue background of a sad person sitting alone staring at a leopard,1,4
AAAAC-7,AAAAC,7,A picasso painting with a blue background of a sad person sitting alone watching some bottlenose dolphins,1,4
AAAAC-8,AAAAC,8,A picasso painting of a sad person sitting alone near a zebra with a blue background,1,4
AAAAC-9,AAAAC,9,A picasso painting with a blue background of a sad person sitting alone observing elephant calves at a zoo,1,4
AAAAC-10,AAAAC,10,A picasso with a blue background of sad person sitting alone touching a unicorn,1,4
AAABA-1,AAABA,1,A pop art painting of a downcast person standing in the midst of a small group of people holding a cute flying bee with a blue background,4,16
AAABA-2,AAABA,2,A pop art painting of a downcast person standing in the midst of a small group of people watching a catfish with a blue background,4,16
AAABA-3,AAABA,3,A pop art painting of a downcast person standing in the midst of a small group of people holding a hen with a blue background,4,16
AAABA-4,AAABA,4,A pop art painting with a blue background of a downcast person standing next to a giraffe in the midst of a small group of people,3,12
AAABA-5,AAABA,5,A pop art painting of a downcast person standing in the midst of a small group of people while petting a monkey with a blue background,2,8
AAABA-6,AAABA,6,A pop art painting with a blue background of a downcast person standing with some people next to a leopard,2,8
AAABA-7,AAABA,7,A pop art painting with a blue background of a downcast person who is standing with a group of people watching dolphins,1,4
AAABA-8,AAABA,8,A pop art painting with a blue background of a downcast person who is standing with a group of people staring at a zebra eating grass,1,4
